Code,Semester,Average
MAT186,Fall 2022,C+
MAT188,Fall 2022,C+
APS105,Winter 2023,B-
APS112,Winter 2023,B+
ECE110,Winter 2023,C+
MAT187,Winter 2023,B-
MIE100,Winter 2023,C+
LIN101,Fall 2022,C+
LIN101,Winter 2023,B-
ENG140,Fall 2022 - Winter 2023,B
PSY100,Winter 2023,C+
HPS100,Summer 2022,B
STA261,Winter 2023,C+
JWE206,Winter 2023,B-
GER150,Winter 2023,B
BCH210,Fall 2022,C+
BIO230,Fall 2022,B
BMS100 ,Fall 2022,C
HMB265,Fall 2022,C+
PSL300,Fall 2022,C+
BMS201,Winter 2023,C
HMB204,Winter 2023,B
PSL301,Winter 2023,B-
PSY201,Winter 2023,B-
HIS314,Winter 2022,B+
MAT390,Fall 2022,C+
HIS264,Fall 2022,B
HIS271,Fall 2022/Winter 2023,B-
HIS349,Winter 2023,B-
HMB203,Winter 2023,B
ENG150,Fall/Winter 2023,B-
AST251,Winter 2023,B
FSL220,Winter 2023,B-
STA255,Winter 2023,C
NFS302,Winter 2023,B
HMB322,Winter 2023,B+
HMB342,Winter 2023,B+
Mgy277 ,Fall 2022,B+
NFS301,Fall 2022,B+
CSC108,Fall 2022,B-
STA256,Winter 2023,C-
CSC258,Winter 2023,
MAT136,Winter 2023,C+
CSC108,Winter 2023,B
LIN204,Winter 2023,B-
GGR252,Winter 2023,C+
CSC148,Winter 2023,B-
STA130,Winter 2023,B
CSC207,Fall 2022,B+
ECO200,Fall/Winter 2023,
STA257,Fall 2022,B-
IMM250,Winter2023,
CSCA67,Fall 2022,C+
LINA01,Fall 2022,C+
MGY377,Fall 2022,C+
CSB331,Winter 2023,B-
CSB472,Winter 2023,B
CSB457,Winter 2023,A-
CSB327,Fall 2021,B+
CSB349,Fall 2021,A-
BCH440,Winter 2022,B
BCH428,Fall 2022,A-
BCH448,Fall 2022,A-
HIS198,Fall 2021,A-
POL195,Fall 2021,A-
SDS255,Fall 2021,B
VIC114,Fall 2021,B
CLA210,Winter 2022,C+
HIS108,Winter 2022,C+
MAT198,Winter 2022,A-
NEW198,Winter 2022,B+
RLG107,Winter 2022,B
FAH230,Fall 2022,B+
HIS243,Fall 2022,B-
MST201,Fall 2022,B-
HIS222,Winter 2023,C+
HIS242,Winter 2023,C+
HIS346,Winter 2023,B-
ITA332,Winter 2023,B-
CIN105,Fall/Winter 2023,C+
CIV102,Fall 2018,B-
ESC101,Fall 2018,B
ESC103,Fall 2018,B-
ESC180,Fall 2018,B
MAT194,Fall 2018,B
PHY180,Fall 2018,B
ECE159,Winter 2019,B
ESC102,Winter 2019,B+
ESC190,Winter 2019,B+
MAT185,Winter 2019,B-
MAT195,Winter 2019,B-
MSE160,Winter 2019,B+
APS444,Summer 2019,B+
SOC100,Summer 2019,C+
ECE212,Fall 2019,B-
ECE241,Fall 2019,B-
ECE244,Fall 2019,B
MAT290,Fall 2019,B
MAT291,Fall 2019,C+
ECE216,Winter 2020,B-
ECE221,Winter 2020,C+
ECE231,Winter 2020,B-
ECE243,Winter 2020,B
ECE297,Winter 2020,B
CIV300,Fall 2021,B+
ECE302,Fall 2021,C+
ECE344,Fall 2021,B
ECE345,Fall 2021,B
ECE361,Fall 2021,B+
APS360,Winter 2022,B-
CSC343,Winter 2022,B+
ECE311,Winter 2022,C+
ECE342,Winter 2022,B-
TEP343,Winter 2022,A-
ANT253,Fall 2022,B
CIN240,Fall 2021,B
RSM219,Winter 2022,B+
RSM222,Fall 2022,B
RSM225,Fall 2022,B
RSM270,Fall 2023,B+
RSM332,Winter 2023,B
ECO220,Winter 2023,C+
ECO204,Winter 2023,B
CSC108,Winter 2024,B
ECO101,Fall 2019,C+
HPS110,Fall 2019,B
MAT133,Fall 2019 - Winter 2020,B
RSM100,Fall 2019,B-
RSM219,Fall 2019,B+
CLA230,Winter 2020,B
ECO102,Winter 2020,B-
RSM230,Winter 2020,B+
RSM250,Winter 2020,B
